Date,Hsi_Close,Date,Dji_Close
3/27/2007,19706.79,3/28/2007,12300.36
3/28/2007,19553.87,3/29/2007,12348.75
3/29/2007,19821.78,3/30/2007,12354.35
3/30/2007,19800.93,4/2/2007,12382.3
4/2/2007,19809.7,4/3/2007,12510.93
4/3/2007,20002.7,4/4/2007,12530.05
4/4/2007,20209.71,4/5/2007,12560.83
4/10/2007,20347.87,4/9/2007,12569.14
4/11/2007,20449.43,4/10/2007,12573.85
4/12/2007,20380.21,4/11/2007,12484.62
4/13/2007,20340.97,4/12/2007,12552.96
4/16/2007,20757.53,4/13/2007,12612.13
4/17/2007,20788.61,4/16/2007,12720.46
4/18/2007,20777.09,4/17/2007,12773.04
4/19/2007,20299.71,4/18/2007,12803.84
4/20/2007,20566.59,4/19/2007,12808.63
4/23/2007,20556.57,4/20/2007,12961.98
4/24/2007,20572.8,4/23/2007,12919.4
4/25/2007,20536.78,4/24/2007,12953.94
4/26/2007,20667.29,4/25/2007,13089.89
4/27/2007,20526.5,4/26/2007,13105.5
4/30/2007,20318.98,4/27/2007,13120.94
5/1/2007,20318.98,4/30/2007,13062.91
5/2/2007,20388.49,5/1/2007,13136.14
5/3/2007,20681.58,5/2/2007,13211.88
5/4/2007,20841.08,5/3/2007,13241.38
5/7/2007,20896.64,5/4/2007,13264.62
5/8/2007,20706.35,5/7/2007,13312.97
5/9/2007,20844.78,5/8/2007,13309.07
5/10/2007,20746.27,5/9/2007,13362.87
5/11/2007,20468.21,5/10/2007,13215.13
5/14/2007,20979.24,5/11/2007,13326.22
5/15/2007,20868.15,5/14/2007,13346.78
5/16/2007,20937.26,5/15/2007,13383.84
5/17/2007,20994.61,5/16/2007,13487.53
5/18/2007,20904.84,5/17/2007,13476.72
5/21/2007,20927.75,5/18/2007,13556.53
5/22/2007,20843.92,5/21/2007,13542.88
5/23/2007,20798.97,5/22/2007,13539.95
5/24/2007,20798.97,5/23/2007,13525.65
5/25/2007,20520.66,5/24/2007,13441.13
5/28/2007,20529.76,5/25/2007,13507.28
5/29/2007,20469.59,5/29/2007,13521.34
5/30/2007,20293.76,5/30/2007,13633.08
5/31/2007,20634.47,5/31/2007,13627.64
6/1/2007,20602.87,6/1/2007,13668.11
6/4/2007,20729.59,6/4/2007,13676.32
6/5/2007,20842.15,6/5/2007,13595.46
6/6/2007,20818.61,6/6/2007,13465.67
6/7/2007,20800.16,6/7/2007,13266.73
6/8/2007,20509.15,6/8/2007,13424.39
6/11/2007,20615.49,6/11/2007,13424.96
6/12/2007,20636.39,6/12/2007,13295.01
6/13/2007,20578.75,6/13/2007,13482.35
6/14/2007,20867.26,6/14/2007,13553.73
6/15/2007,21017.05,6/15/2007,13639.48
6/18/2007,21582.89,6/18/2007,13612.98
6/19/2007,21582.89,6/19/2007,13635.42
6/20/2007,21684.67,6/20/2007,13489.42
6/21/2007,21954.67,6/21/2007,13545.84
6/22/2007,21999.91,6/22/2007,13360.26
6/25/2007,21822.35,6/25/2007,13352.05
6/26/2007,21803.57,6/26/2007,13337.66
6/27/2007,21705.56,6/27/2007,13427.73
6/28/2007,21938.22,6/28/2007,13422.28
6/29/2007,21772.73,6/29/2007,13408.62
7/3/2007,22151.14,7/2/2007,13535.43
7/4/2007,22218.55,7/3/2007,13577.3
7/5/2007,22252.99,7/5/2007,13565.84
7/6/2007,22531.74,7/6/2007,13611.68
7/9/2007,22817.43,7/9/2007,13649.97
7/10/2007,22885.84,7/10/2007,13501.7
7/11/2007,22607.02,7/11/2007,13577.87
7/12/2007,22809.02,7/12/2007,13861.73
7/13/2007,23099.29,7/13/2007,13907.25
7/16/2007,22953.94,7/16/2007,13950.98
7/17/2007,23057.3,7/17/2007,13971.55
7/18/2007,22841.92,7/18/2007,13918.22
7/19/2007,23016.2,7/19/2007,14000.41
7/20/2007,23291.9,7/20/2007,13851.08
7/23/2007,23365.56,7/23/2007,13943.42
7/24/2007,23472.88,7/24/2007,13716.95
7/25/2007,23362.18,7/25/2007,13785.79
7/26/2007,23211.69,7/26/2007,13473.57
7/27/2007,22570.41,7/27/2007,13265.47
7/30/2007,22739.9,7/30/2007,13358.31
7/31/2007,23184.94,7/31/2007,13211.99
8/1/2007,22455.36,8/1/2007,13362.37
8/2/2007,22443.25,8/2/2007,13463.33
8/3/2007,22538.44,8/3/2007,13181.91
8/6/2007,21936.73,8/6/2007,13468.78
8/7/2007,21907.99,8/7/2007,13504.3
8/8/2007,22536.67,8/8/2007,13657.86
8/9/2007,22439.36,8/9/2007,13270.68
8/10/2007,21792.71,8/10/2007,13239.54
8/13/2007,21891.1,8/13/2007,13236.53
8/14/2007,22007.32,8/14/2007,13028.92
8/15/2007,21375.72,8/15/2007,12861.47
8/16/2007,20672.39,8/16/2007,12845.78
8/17/2007,20387.13,8/17/2007,13079.08
8/20/2007,21595.63,8/20/2007,13121.35
