"八月 11, 2006",75.63,76.98
"八月 18, 2006",71.79,72.35
"八月 25, 2006",72.12,71.92
"九月 01, 2006",70.01,68.35
"九月 08, 2006",67.53,65.76
"九月 15, 2006",63.98,61.38
"九月 22, 2006",61.4,60.23
"九月 29, 2006",61.94,58.76
"十月 06, 2006",59.77,57.15
"十月 13, 2006",58.58,58.33
"十月 20, 2006",58.48,58.51
"十月 27, 2006",58.88,57.73
"十一月 03, 2006",58.55,56.48
"十一月 10, 2006",59.96,58.02
"十一月 17, 2006",57.56,57.85
"十一月 24, 2006",57.24,59.2
"十二月 01, 2006",62.02,62.59
"十二月 08, 2006",62.32,63.63
"十二月 15, 2006",61.91,62.56
"十二月 22, 2006",62.4,62.44
"十二月 29, 2006",60.66,59.69
"一月 05, 2007",57.76,55.63
"一月 12, 2007",54.11,51.79
"一月 19, 2007",51.51,51.4
"一月 26, 2007",53.57,54.87
"二月 02, 2007",57.11,55.92
"二月 09, 2007",58.99,57.9
"二月 16, 2007",58.41,55.54
"二月 23, 2007",59.57,58.16
"三月 02, 2007",61.64,60.62
"三月 09, 2007",60.85,60.35
"三月 16, 2007",57.94,60.87
"三月 23, 2007",58.26,61.09
"三月 30, 2007",64.18,66.1
"四月 06, 2007",64.82,68.55
"四月 13, 2007",62.58,68.2
"四月 20, 2007",63.06,66.21
"四月 27, 2007",65.26,67.39
"五月 04, 2007",63.82,66.04
"五月 11, 2007",61.9,63.91
"五月 18, 2007",63.61,67.55
"五月 25, 2007",64.89,70.65
"六月 01, 2007",63.94,68.45
"六月 08, 2007",65.9,71.23
"六月 15, 2007",66.62,69.89
"六月 22, 2007",68.78,71.78
"六月 29, 2007",69.13,71.76
"七月 06, 2007",71.78,74.79
"七月 13, 2007",72.79,77.76
"七月 20, 2007",74.92,78.24
"七月 27, 2007",75.15,76.66
"八月 03, 2007",76.75,76.34
"八月 10, 2007",71.92,70.7
"八月 17, 2007",72.05,70.09
"八月 24, 2007",70.19,68.44
"八月 31, 2007",72.93,70.55
"九月 07, 2007",75.96,75.06
"九月 14, 2007",78.95,76.89
"九月 21, 2007",82.26,78.17
"九月 28, 2007",81.7,78.15
"十月 05, 2007",80.59,77.98
"十月 12, 2007",81.46,78.85
"十月 19, 2007",87.8,84.29
"十月 26, 2007",89.23,83.72
"十一月 02, 2007",93.46,90.42
"十一月 09, 2007",95.81,93.54
"十一月 16, 2007",93.56,90.74
"十一月 23, 2007",97.93,94.01
"十一月 30, 2007",92.47,92.16
"十二月 07, 2007",88.71,89.09
"十二月 14, 2007",91.18,90.24
"十二月 21, 2007",91.16,90.82
"十二月 28, 2007",95.64,94.39
"一月 04, 2008",98.17,96.5
"一月 11, 2008",94.76,94.4
"一月 18, 2008",91.51,90.03
"一月 25, 2008",89.41,88.46
"二月 01, 2008",91.14,91.77
"二月 08, 2008",89.08,89.88
"二月 15, 2008",94.13,94.98
"二月 22, 2008",99.61,97.13
"二月 29, 2008",100.84,99.1
"三月 07, 2008",103.44,101.9
"三月 14, 2008",109.35,107.69
"三月 21, 2008",105.28,103.05
"三月 28, 2008",104.49,102.05
"四月 04, 2008",103.46,100.88
"四月 11, 2008",109.71,106.6
"四月 18, 2008",114.33,110.42
"四月 25, 2008",118.53,114.34
"五月 02, 2008",115.42,111.98
"五月 09, 2008",123.01,119.84
"五月 16, 2008",124.96,122.58
"五月 23, 2008",130.14,126.47
"五月 30, 2008",128.47,128.76
"六月 06, 2008",128.16,126.33
"六月 13, 2008",134.8,134.12
"六月 20, 2008",134.34,132.08
"六月 27, 2008",137,135.54
"七月 04, 2008",142.52,141.07
"七月 11, 2008",139.95,137.43
"七月 18, 2008",135.37,135.05
"七月 25, 2008",125.92,126.7
"八月 01, 2008",124.57,124.43
"八月 08, 2008",118.8,116.56
"八月 15, 2008",114.4,110.16
"八月 22, 2008",115.7,111.66
"八月 29, 2008",116.09,112.4
"九月 05, 2008",108.37,103.69
"九月 12, 2008",102.88,97.28
"九月 19, 2008",97.19,89.35
"九月 26, 2008",111.12,100.91
"十月 03, 2008",96.59,91.9
"十月 10, 2008",86.24,80.98
"十月 17, 2008",75.19,69.28
"十月 24, 2008",68.56,64.4
"十月 31, 2008",65.21,60.61
"十一月 07, 2008",64.31,59.43
"十一月 14, 2008",58.6,53.27
"十一月 21, 2008",52.26,47.79
"十一月 28, 2008",53.27,48.53
"十二月 05, 2008",45.6,43.7
"十二月 12, 2008",44.57,41.01
"十二月 19, 2008",39.7,41.71
"十二月 26, 2008",32.98,35.38
"一月 02, 2009",42.4,37.04
"一月 09, 2009",44.46,45.25
"一月 16, 2009",36.73,42.38
"一月 23, 2009",42.15,41.67
"一月 30, 2009",42.7,44.2
"二月 06, 2009",40.78,43.64
"二月 13, 2009",36.94,45.59
"二月 20, 2009",37.15,40.91
"二月 27, 2009",41.1,42.68
"三月 06, 2009",43.18,43.86
"三月 13, 2009",45.66,43.98
"三月 20, 2009",49.49,46.43
"三月 27, 2009",52.99,51.46
"四月 03, 2009",50.34,48.49
"四月 10, 2009",50.46,51.48
"四月 17, 2009",49.86,51.59
"四月 24, 2009",47.8,48.97
"五月 01, 2009",50.2,49.92
"五月 08, 2009",55.96,54.83
"五月 15, 2009",57.94,56.39
"五月 22, 2009",60.32,57.89
"五月 29, 2009",64.32,62.2
"六月 05, 2009",68.11,67.17
"六月 12, 2009",70.85,69.88
"六月 19, 2009",70.62,69.68
"六月 26, 2009",68.58,67.58
"七月 03, 2009",69.32,68.03
"七月 10, 2009",61.48,60.39
"七月 17, 2009",61.29,61.11
"七月 24, 2009",65.28,66.56
"七月 31, 2009",67.03,68.6
"八月 07, 2009",71.58,73.99
"八月 14, 2009",69.64,72.9
"八月 21, 2009",70.8,71.52
"八月 28, 2009",72.37,72.33
"九月 04, 2009",68.39,67.6
"九月 11, 2009",70.91,69.17
"九月 18, 2009",71.32,68.85
"九月 25, 2009",68.33,66.96
"十月 02, 2009",68.84,65.9
"十月 09, 2009",70.8,67.87
"十月 16, 2009",75.73,72.29
"十月 23, 2009",80.06,77.24
"十月 30, 2009",78.47,76.07
"十一月 06, 2009",79,76.6
"十一月 13, 2009",78.24,76.25
"十一月 20, 2009",78.37,77.04
"十一月 27, 2009",76.14,76.52
"十二月 04, 2009",76.81,77.78
"十二月 11, 2009",71.51,73.14
"十二月 18, 2009",71.72,71.8
"十二月 25, 2009",74.76,73.35
"一月 01, 2010",79.07,77.19
"一月 08, 2010",82.34,79.82
"一月 15, 2010",80.06,78.31
"一月 22, 2010",76.62,74.28
"一月 29, 2010",73.94,71.88
"二月 05, 2010",74.57,72.54
"二月 12, 2010",73.88,70.85
"二月 19, 2010",78.25,75.8
"二月 26, 2010",79.22,76.23
"三月 05, 2010",80.19,77.86
"三月 12, 2010",81.76,79.36
"三月 19, 2010",81.44,79.05
"三月 26, 2010",80.65,78.38
"四月 02, 2010",83.01,80.59
"四月 09, 2010",85.66,83.88
"四月 16, 2010",84.34,85.23
"四月 23, 2010",82.9,84.61
"四月 30, 2010",84.22,85.98
"五月 07, 2010",80.24,82.5
"五月 14, 2010",74.98,78.32
"五月 21, 2010",69.14,72.17
"五月 28, 2010",70.62,70.79
"六月 04, 2010",72.91,72.71
"六月 11, 2010",73.44,72.76
"六月 18, 2010",76.7,76.22
"六月 25, 2010",77.06,76.64
"七月 02, 2010",74.96,73.86
"七月 09, 2010",74.39,73.95
"七月 16, 2010",76.35,75.7
"七月 23, 2010",77.56,76.64
"七月 30, 2010",78.12,77.24
"八月 06, 2010",81.79,82.69
